Date,Id,Name,DeathNumber,HospitalizationNumber,PositiveNumber,RecoveryNumber,SevereNumber,TestNumber,NationalTestNumber,QuarantineTestNumber,CareCenterTestNumber,CivilCenterTestNumber,CollegeTestNumber,MedicalTestNumber
2020/2/14,0,,1,9,7,12,0,43,0,0,0,0,0,0
2020/2/15,1,,1,24,12,12,0,86,0,0,0,0,0,0
2020/2/16,2,,1,24,6,13,0,65,0,0,0,0,0,0
2020/2/17,3,,1,24,7,12,0,113,0,0,0,0,0,0
2020/2/18,4,,1,31,7,14,0,9,472,75,398,0,79,0
2020/2/19,5,,1,35,10,16,0,71,15,68,609,0,0,0
2020/2/20,6,,1,52,9,16,0,90,20,15,758,0,0,0
2020/2/21,7,,1,62,11,16,0,85,261,188,902,132,108,0
2020/2/22,8,,1,96,27,17,0,96,341,127,677,2,19,0
2020/2/23,9,,1,108,12,17,0,39,53,72,529,0,0,0
2020/2/24,10,,1,121,12,18,0,104,22,103,460,17,0,0
2020/2/25,11,,1,125,8,23,0,44,195,38,695,0,0,0
2020/2/26,12,,1,138,22,23,0,168,267,19,970,149,0,0
2020/2/27,13,,3,161,24,30,0,151,237,61,1101,0,0,0
2020/2/28,14,,4,176,20,30,0,130,53,79,1369,102,0,0
2020/2/29,15,,5,188,9,31,0,178,10,86,971,0,0,0
2020/3/1,16,,5,201,15,31,0,96,0,22,544,116,0,0
2020/3/2,17,,6,212,14,32,0,71,125,24,1038,15,0,0
2020/3/3,18,,6,226,16,35,0,153,20,27,1718,11,0,0
2020/3/4,19,,6,258,33,37,0,3940,71,12,1398,7,0,0
2020/3/5,20,,6,271,31,38,0,699,83,11,1579,5,0,0
2020/3/6,21,,6,323,59,56,0,553,107,35,1786,5,62,68
2020/3/7,22,,6,366,47,63,0,147,18,13,1616,11,20,44
2020/3/8,23,,6,377,33,67,0,110,0,10,579,2,8,9
2020/3/9,24,,7,400,26,88,0,1314,0,27,1072,4,97,48
2020/3/10,25,,9,437,54,89,0,424,8,57,1763,97,65,62
2020/3/11,26,,12,481,52,103,0,181,69,45,1537,81,70,83
2020/3/12,27,,15,520,55,108,0,1855,86,128,1378,28,54,65
2020/3/13,28,,19,548,40,120,0,859,4,187,1163,37,75,98
2020/3/14,29,,21,591,62,129,0,107,153,238,1082,53,15,52
2020/3/15,30,,22,603,33,142,0,42,12,59,432,0,4,106
2020/3/16,31,,24,621,15,149,0,2083,25,65,816,35,82,57
2020/3/17,32,,28,645,44,156,0,203,35,14,1548,63,63,56
2020/3/18,33,,29,659,39,176,0,0,16,59,1461,97,89,69
2020/3/19,34,,31,681,36,200,0,3490,22,31,1449,86,91,66
2020/3/20,35,,33,723,53,212,0,119,0,51,1270,28,93,24
2020/3/21,36,,35,719,34,217,0,132,0,40,696,121,28,13
2020/3/22,37,,36,743,42,257,0,56,4,83,688,0,42,40
2020/3/23,38,,41,763,38,270,0,3862,0,20,1136,37,119,80
2020/3/24,39,,42,816,65,285,0,0,2,47,1973,84,119,102
2020/3/25,40,,43,855,93,294,0,674,0,29,1571,142,101,66
2020/3/26,41,,45,920,96,343,0,1805,0,17,1721,152,164,95
2020/3/27,42,,46,948,104,356,0,1442,30,12,1774,196,166,87
2020/3/28,43,,49,1187,194,388,0,296,0,16,2049,273,156,32
2020/3/29,44,,52,1358,185,408,0,206,326,62,1326,272,94,29
2020/3/30,45,,54,1423,74,408,0,3481,456,97,1665,540,258,183
2020/3/31,46,,56,1594,218,408,0,1914,0,207,3037,399,252,187
2020/4/1,47,,57,1757,224,456,0,0,0,46,2870,486,354,340
2020/4/2,48,,60,1980,253,489,0,4685,0,131,3544,719,409,267
2020/4/3,49,,63,2227,337,498,0,3305,186,496,3536,786,537,191
2020/4/4,50,,69,2553,370,559,0,271,517,590,3179,1183,384,68
2020/4/5,51,,70,2921,386,568,0,218,288,702,2021,496,145,47
2020/4/6,52,,73,3132,270,575,0,7876,338,627,2769,782,650,303
2020/4/7,53,,80,3472,377,605,0,4544,357,685,4152,1338,641,203
2020/4/8,54,,81,3914,550,615,0,1383,414,805,4110,1850,589,296
2020/4/9,55,,85,4461,572,668,0,2841,287,940,4541,1663,549,338
2020/4/10,56,,88,5063,708,697,0,5389,344,650,4730,1565,676,345
2020/4/11,57,,94,5751,676,745,0,1644,351,683,4678,1442,369,91
2020/4/12,58,,98,6239,571,767,0,57,326,833,2835,287,50,81
2020/4/13,59,,102,6564,333,782,0,9252,103,819,3202,1739,742,419
2020/4/14,60,,109,6961,511,836,0,8255,205,939,5492,1493,701,375
2020/4/15,61,,119,7388,511,884,0,693,83,694,5473,1972,572,430
2020/4/16,62,,136,7884,596,918,0,5325,0,703,5617,1718,558,320
2020/4/17,63,,148,8448,575,995,0,4149,135,846,5490,2112,650,400
2020/4/18,64,,154,8916,590,1052,0,1004,8,778,4845,2737,202,138
2020/4/19,65,,161,9215,372,1142,0,2953,125,834,3500,52,42,92
2020/4/20,66,,171,9449,365,1222,0,6816,0,425,3305,2220,708,484
2020/4/21,67,,186,9740,374,1339,0,5542,0,668,4744,2086,1012,345
2020/4/22,68,,277,10082,450,2023,0,4415,65,358,5315,2512,806,356
2020/4/23,69,,287,10469,445,2391,0,5349,144,521,5464,2389,945,320
2020/4/24,70,,317,10801,451,2519,0,5187,73,687,4924,2635,1185,453
2020/4/25,71,,334,11046,374,2645,0,1250,148,795,4352,2700,315,167
2020/4/26,72,,348,11175,221,2798,0,1136,0,732,2983,433,67,99
2020/4/27,73,,351,11252,189,2888,0,8545,0,592,3135,2264,960,499
2020/4/28,74,,376,11427,284,3170,0,3244,57,711,4958,2927,946,478
2020/4/29,75,,389,11585,227,3357,0,879,0,636,4146,2213,196,142
2020/4/30,76,,415,11424,199,3449,0,8126,52,591,3317,2902,956,527
2020/5/1,77,,432,11558,266,3964,0,6820,68,706,4582,2731,1025,526
2020/5/2,78,,458,11724,302,4194,0,880,165,805,3992,3354,381,274
2020/5/3,79,,492,11823,204,4368,0,1012,70,692,3047,666,274,295
2020/5/4,80,,510,11935,177,4479,0,1332,217,366,2558,1540,395,280
2020/5/5,81,,521,11731,120,4570,0,1569,266,406,2448,1386,391,277
2020/5/6,82,,543,11638,106,4901,0,447,244,399,2157,1203,367,293
2020/5/7,83,,551,11286,96,5129,0,13005,224,487,2689,3285,1012,500
2020/5/8,84,,600,6302,89,8110,0,10680,115,425,3851,3479,1156,528
2020/5/9,85,,613,6250,108,8276,0,2265,106,581,3458,3810,390,302
2020/5/10,86,,621,6074,68,8514,0,3995,52,648,2088,566,160,148
2020/5/11,87,,643,5914,50,8903,0,5993,23,633,2066,2731,1250,668
2020/5/12,88,,668,5162,80,9851,0,288,27,692,3387,3237,1201,556
2020/5/13,89,,687,4732,54,10321,0,10074,24,231,3179,4021,997,450
2020/5/14,90,,710,4339,100,10792,0,5866,3,525,2936,3590,1011,491
2020/5/15,91,,725,4025,52,11136,0,3092,8,578,2741,3299,1190,472
2020/5/16,92,,744,3787,57,11398,0,4337,94,658,2399,2891,363,232
2020/5/17,93,,749,3667,30,11547,0,4987,10,732,1340,526,143,149
2020/5/18,94,,763,3400,30,11867,0,5980,0,482,1486,2794,1273,629
2020/5/19,95,,771,3009,31,12269,0,3221,12,643,2185,3124,1114,541
2020/5/20,96,,777,2761,38,12655,0,3669,10,360,2056,2999,881,401
2020/5/21,97,,796,2495,43,12988,0,4580,9,513,1791,2744,919,444
2020/5/22,98,,808,2293,31,13227,0,3495,8,506,1460,2413,1006,435
